Postnr;Bynavn;Gade;Firma;Land
1050;København K;Kongens Nytorv;;Danmark København
1051;København K;Nyhavn;;Danmark København
1052;København K;Herluf Trolles Gade;;Danmark København
1053;København K;Cort Adelers Gade;;Danmark København
1054;København K;Peder Skrams Gade;;Danmark København
1055;København K;Tordenskjoldsgade;;Danmark København
1055;København K;August Bournonvilles Passage;;Danmark København
1056;København K;Heibergsgade;;Danmark København
1057;København K;Holbergsgade;;Danmark København
1058;København K;Havnegade;;Danmark København
1059;København K;Niels Juels Gade;;Danmark København
1060;København K;Holmens Kanal;;Danmark København
1061;København K;Ved Stranden;;Danmark København
1062;København K;Boldhusgade;;Danmark København
1063;København K;Laksegade;;Danmark København
1064;København K;Asylgade;;Danmark København
1065;København K;Fortunstræde;;Danmark København
1066;København K;Admiralgade;;Danmark København
1067;København K;Nikolaj Plads;;Danmark København
1068;København K;Nikolajgade;;Danmark København
1069;København K;Bremerholm;;Danmark København
1070;København K;Vingårdstræde;;Danmark København
1071;København K;Dybensgade;;Danmark København
1072;København K;Lille Kirkestræde;;Danmark København
1073;København K;Store Kirkestræde;;Danmark København
1074;København K;Lille Kongensgade;;Danmark København
1092;København K; Holmens Kanal 2-12;Danske Bank A/S;Danmark København
1093;København K; Havnegade 5;Danmarks Nationalbank;Danmark København
1095;København K; Kongens Nytorv 13;Magasin du Nord;Danmark København
1098;København K; Esplanaden 50;A.P. Møller;Danmark København
1100;København K;Østergade;;Danmark København
1101;København K;Ny Østergade;;Danmark København
1102;København K;Pistolstræde;;Danmark København
1103;København K;Hovedvagtsgade;;Danmark København
1104;København K;Ny Adelgade;;Danmark København
1105;København K;Kristen Bernikows Gade;;Danmark København
1106;København K;Antonigade;;Danmark København
1107;København K;Grønnegade;;Danmark København
1110;København K;Store Regnegade;;Danmark København
1111;København K;Christian IX's Gade;;Danmark København
1112;København K;Pilestræde;;Danmark København
1113;København K;Silkegade;;Danmark København
1114;København K;Kronprinsensgade;;Danmark København
1115;København K;Klareboderne;;Danmark København
1116;København K;Møntergade;;Danmark København
1117;København K;Gammel Mønt;;Danmark København
1118;København K;Sværtegade;;Danmark København
1119;København K;Landemærket;;Danmark København
1120;København K;Vognmagergade;;Danmark København
1121;København K;Lønporten;;Danmark København
1122;København K;Sjæleboderne;;Danmark København
1123;København K;Gothersgade;;Danmark København
1124;København K;Åbenrå;;Danmark København
1125;København K;Suhmsgade;;Danmark København
1126;København K;Pustervig;;Danmark København
1127;København K;Hauser Plads;;Danmark København
1128;København K;Hausergade;;Danmark København
1129;København K;Sankt Gertruds Stræde;;Danmark København
1130;København K;Rosenborggade;;Danmark København
1131;København K;Tornebuskegade;;Danmark København
1140;København K; Møntergade 19;Forlaget Børsen;Danmark København
1147;København K; Pilestræde 34;Berlingske Tidende;Danmark København
1148;København K; Vognmagergade 11;Gutenberghus;Danmark København
1150;København K;Købmagergade;;Danmark København
1151;København K;Valkendorfsgade;;Danmark København
1152;København K;Løvstræde;;Danmark København
1153;København K;Niels Hemmingsens Gade;;Danmark København
1154;København K;Gråbrødretorv;;Danmark København
1155;København K;Kejsergade;;Danmark København
1156;København K;Gråbrødrestræde;;Danmark København
1157;København K;Klosterstræde;;Danmark København
1158;København K;Skoubogade;;Danmark København
1159;København K;Skindergade;;Danmark København
1160;København K;Amagertorv;;Danmark København
1161;København K;Vimmelskaftet;;Danmark København
1162;København K;Jorcks Passage;;Danmark København
1163;København K;Klostergården;;Danmark København
1164;København K;Nygade;;Danmark København
1165;København K;Nørregade;;Danmark København
1165;København K;Sankt Petri Passage;;Danmark København
1166;København K;Dyrkøb;;Danmark København
1167;København K;Bispetorvet;;Danmark København
1168;København K;Frue Plads;;Danmark København
1169;København K;Store Kannikestræde;;Danmark København
1170;København K;Lille Kannikestræde;;Danmark København
1171;København K;Fiolstræde;;Danmark København
1172;København K;Krystalgade;;Danmark København
1173;København K;Peder Hvitfeldts Stræde;;Danmark København
1174;København K;Rosengården;;Danmark København
1175;København K;Kultorvet;;Danmark København
1200;København K;Højbro Plads;;Danmark København
1201;København K;Læderstræde;;Danmark København
1202;København K;Gammel Strand;;Danmark København
1203;København K;Nybrogade;;Danmark København
1204;København K;Magstræde;;Danmark København
1205;København K;Snaregade;;Danmark København
1206;København K;Naboløs;;Danmark København
1207;København K;Hyskenstræde;;Danmark København
1208;København K;Kompagnistræde;;Danmark København
1209;København K;Badstuestræde;;Danmark København
1210;København K;Knabrostræde;;Danmark København
1211;København K;Brolæggerstræde;;Danmark København
1212;København K;Vindebrogade;;Danmark København
1213;København K;Bertel Thorvaldsens Plads;;Danmark København
1214;København K;Tøjhusgade;;Danmark København
1215;København K;Børsgade;;Danmark København
1216;København K;Slotsholmsgade;;Danmark København
1217;København K;Børsen;;Danmark København
1218;København K;Christiansborg;;Danmark København
1218;København K;Christiansborg Ridebane;;Danmark København
1218;København K;Christiansborg Slotsplads;;Danmark København
1218;København K;Prins Jørgens Gård;;Danmark København
1218;København K;Proviantpassagen;;Danmark København
1218;København K;Rigsdagsgården;;Danmark København
1219;København K;Christians Brygge ulige nr. + 2-22;;Danmark København
1220;København K;Frederiksholms Kanal;;Danmark København
1221;København K;Søren Kierkegaards Plads;;Danmark København
1240;København K; Christiansborg;Folketinget;Danmark København
1250;København K;Sankt Annæ Plads;;Danmark København
1251;København K;Kvæsthusgade;;Danmark København
1253;København K;Toldbodgade;;Danmark København
1254;København K;Lille Strandstræde;;Danmark København
1255;København K;Store Strandstræde;;Danmark København
1256;København K;Amaliegade;;Danmark København
1257;København K;Amalienborg;;Danmark København
1259;København K;Trekroner;;Danmark København
1259;København K;Nordre Toldbod;;Danmark København
1260;København K;Bredgade;;Danmark København
1261;København K;Palægade;;Danmark København
1263;København K;Esplanaden;;Danmark København
1263;København K;Churchillparken;;Danmark København
1264;København K;Store Kongensgade;;Danmark København
1265;København K;Frederiksgade;;Danmark København
1266;København K;Bornholmsgade;;Danmark København
1267;København K;Hammerensgade;;Danmark København
1268;København K;Jens Kofods Gade;;Danmark København
1270;København K;Grønningen;;Danmark København
1271;København K;Poul Ankers Gade;;Danmark København
1300;København K;Borgergade;;Danmark København
1301;København K;Landgreven;;Danmark København
1302;København K;Dronningens Tværgade;;Danmark København
1303;København K;Hindegade;;Danmark København
1304;København K;Adelgade;;Danmark København
1306;København K;Kronprinsessegade;;Danmark København
1307;København K;Georg Brandes Plads;;Danmark København
1307;København K;Sølvgade;;Danmark København
1308;København K;Klerkegade;;Danmark København
